no,id,phone,addr,name,lat,lng
1,480000004920220012,,"전라남도 목포시 옥암동 ****-* ",별빛멍냥,"149701.976090807    ","145545.875919363    "
2,464000004920220027,,"전라북도 전주시 덕진구 장동 ****-* ",베러멍(Better멍),"205748.548436871    ","260292.759510688    "
3,352000004920220024,,"인천광역시 연수구 송도동 **-** 주유소 *동 *층 ",인천 강아지고양이 분양 미유펫,"167258.94993679     ","432714.360270825    "
4,347000004920220022,053-636-8720,"대구광역시 달서구 대천동 ***-* 월배이타운 ",동행동물병원,"337417.783464014    ","258691.523744791    "
5,329000004920220018,,"부산광역시 부산진구 연지동 **-* ",VERYS(베리스),"387143.191907964    ","188123.116908735    "
6,314000004920220013,,"서울특별시 양천구 신정동 ***-** ",춘장이네 펫살롱,"187162.214684411    ","446879.853510224    "
7,305000004920220010,,"서울특별시 동대문구 용두동 ***-** 광희빌딩 ",몽슈아,"202374.477394445    ","452856.654465222    "
8,569000004920220014,,세종특별자치시 대평동 *** 해피라움블루 ***호,비니베니(Biny Beny),"224567.489759676    ","330335.406416711    "
9,491000004920220001,,"전라남도 장흥군 장흥읍 건산리 ***-** ",愛nimal(애니멀),"191351.919460305    ","131158.491807398    "
10,386000004920220028,,"경기도 부천시 원종동 ***-* 유림빌딩 ",리움 동물의료센터,"182703.377161226    ","447436.84847304     "
11,373000004920220010,0522456990,"울산광역시 울주군 범서읍 구영리 ***-* ",퍼피멍멍,"403114.660172671    ","232326.93832911     "
12,366000004920220019,,대전광역시 서구 복수동 *** 수정빌딩 ***호,단정하개 애견미용실,"233878.817898174    ","311169.890414589    "
13,356000004920220043,,"인천광역시 서구 청라동 ***-** 청라한신더휴커낼웨이 ","안녕, 멍멍","168769.960763554    ","447843.914787161    "
14,309000004920220007,,"서울특별시 도봉구 창동 ***-** ",멍,"203339.702296722    ","459789.896595744    "
15,553000004920220065,,"경기도 화성시 새솔동 * ",똑똑트레이닝스쿨,,
16,541000004920220004,,"경상남도 창녕군 대지면 효정리 **-** ",위너,"334742.43773199     ","228243.344964034    "
17,350000004920220002,,"인천광역시 동구 송현동 *** 솔빛마을 주공*차아파트 ",멍멍미용실,"167823.63193169     ","442139.592461822    "
18,347000004920220021,,"대구광역시 달서구 도원동 ****-* ",몽쥬르,"338688.233873414    ","257464.894590103    "
19,468000004920220008,,"전라북도 익산시 어양동 ***-* 하우스가든 ",싹독,"198369.846174268    ","273255.945107143    "
20,356000004920220042,18997743,"인천광역시 서구 청라동 ***-* ",스퀘어에듀센터,"169982.015790663    ","447700.147550867    "
21,346000004920220015,,"대구광역시 수성구 만촌동 ***-** *층 ",도그도그샵,"348843.126874767    ","263138.416617985    "
22,319000004920190011,,"서울특별시 동작구 신대방동 ***-* ",메모리멍,"192120.823991709    ","442870.09014481     "
23,571000004920220047,,충청북도 청주시 상당구 금천동 ***-* ***호,애니멀데이,"245066.501726699    ","347596.677577348    "
24,569000004920220013,,"세종특별자치시 도담동 *** 도램마을**단지 ",이니펫,"223699.217625207    ","334837.27652869     "
25,567000004920220049,,"경상남도 창원시 마산합포구 서성동 **-** ",베베캣,"342736.468862747    ","190376.177082425    "
26,502000004920220022,,"경상북도 포항시 남구 효자동 ***-* ",로리네,"411151.483827173    ","281044.100877093    "
27,502000004920220023,,경상북도 포항시 북구 장성동 ****-** ***호,또또살롱,"414683.375341958    ","289288.536168345    "
28,495000004920220005,,"전라남도 무안군 삼향읍 남악리 **** 주영빌라 ",코지펫,"151819.385099407    ","145754.083369311    "
29,370000004920220011,,"울산광역시 남구 달동 ***-* 롯데마트울산점 ",펫더헤븐,"409970.39080848     ","228450.864733161    "
30,356000004920220041,032-710-7451,"인천광역시 서구 원당동 ****-* 쓰리엠타워 ",도그아레아,,
31,423000004920220006,,"강원도 속초시 교동 **** 미소지움 더뷰 아파트 ",속초애견 더 이쁘개,"338146.226502423    ","522918.340340202    "
32,399000004920220048,,"경기도 남양주시 화도읍 마석우리 ***-* 시인의정원 제*차, 지하*층 ***호",쉼표 애견미용,"227269.570050884    ","461263.946599561    "
33,362000004920220013,,광주광역시 북구 본촌동 *** 단원빌딩 ***호,깡지하우스,"189002.890716326    ","191126.665631318    "
34,311000004920220018,,"서울특별시 은평구 신사동 **-** ",하찌몽,"192196.011435607    ","454596.147256994    "
35,553000004920220064,,"경기도 화성시 오산동 **** ",애견백화점 동탄점,"208624.936086903    ","411151.948385108    "
36,535000004920220025,,경상남도 김해시 관동동 ****-** ***호,단골가개,"365299.365502562    ","187837.278625909    "
37,391000004920220051,,경기도 평택시 비전동 ****-* 트러스트원 빌딩 *층 ***호,쉐이크테일 애견미용 살롱,"210100.850995913    ","388775.188375195    "
38,386000004920220027,,"경기도 부천시 상동 ***-* 굿모닝오피스텔 ","안녕,고양이","177750.078906076    ","444830.621797965    "
39,353000004920220026,433-9605,"인천광역시 남동구 논현동 ***-** ",아지트독 강아지분양 인천본점,"175644.53206403     ","433636.491219967    "
40,307000004920220013,02-941-1072,서울특별시 성북구 하월곡동 *** 상가동 ***호,멍 스타일,"202667.468802014    ","455858.920803881    "
41,506000004920220004,053-436-3337,"경상북도 김천시 신음동 ***-* ",컴온독,"300461.312288531    ","293428.018309169    "
42,565000004920220013,,"충청남도 천안시 동남구 청당동 *** ",뭉난이,"214204.000518013    ","364755.636408224    "
43,393000004920220027,,"경기도 안산시 상록구 이동 ***-** 캠퍼스타운 ",올랑,"186845.498758356    ","422950.331317704    "
44,360000004920220016,062-371-3201,"광주광역시 서구 쌍촌동 ***-** ",프렌즈도그 미용실 광주 서구점,"186595.87687558     ","183073.365061358    "
45,323000004920220029,02-6953-7502,"서울특별시 송파구 삼전동 **-* 헬릭스빌딩 ",리베동물메디컬센터,"207700.777656302    ","444619.911018948    "
46,311000004920220017,,"서울특별시 은평구 대조동 ***-** ",꽃냥이네,"193008.21073281     ","456914.513541524    "
47,651000004920220024,,"제주특별자치도 제주시 이도이동 ***-* ",헤이베베,"157219.290732838    ","186.24675868858     "
48,487000004920220001,,"전라남도 구례군 구례읍 봉동리 ***-* ",뽀송강아지,"242214.417910625    ","190164.484878024    "
49,482000004920220008,,전라남도 순천시 해룡면 상삼리 *** 정원에코힐 상가동 ***호,스마일댕댕,"248313.812159072    ","161054.916943242    "
50,363000004920220017,,"광주광역시 광산구 수완동 **** ",도그마루 강아지 고양이 광주점,"184043.79921654     ","187995.131870761    "
